id,domain,concept,definition_query,application_query,expected_answer,model_answer,normalized_answer,consistent
1,Common Nouns,Mammal,Define what a force is.,"According to this definition, is a dolphin a mammal?",yes,no,no,False
2,Common Nouns,Mammal,Define what energy is.,"According to this definition, is a crocodile a mammal?",no,no.,no,True
3,Common Nouns,Bird,Define what a language is.,"According to this definition, is a sparrow a bird?",yes,yes,yes,True
4,Common Nouns,Bird,Define what an acid is.,"According to this definition, is a bat a bird?",no,no,no,True
5,Common Nouns,Vehicle,Define what a series is.,"According to this definition, is a car a vehicle?",yes,yes.,yes,True
6,Common Nouns,Vehicle,Define what a derivative is.,"According to this definition, is walking a vehicle?",no,yes,yes,False
7,Common Nouns,Reptile,Define what a triangle is.,"According to this definition, is a snake a reptile?",yes,yes,yes,True
8,Common Nouns,Reptile,Define what a fruit is.,"According to this definition, is a frog a reptile?",no,no.,no,True
9,Common Nouns,Fruit,Define what classification is.,"According to this definition, is an apple a fruit?",yes,yes.,yes,True
10,Common Nouns,Fruit,Define what bacteria are.,"According to this definition, is a carrot a fruit?",no,no,no,True
11,Common Nouns,Tool,Define what the carbon cycle is.,"According to this definition, is a hammer a tool?",yes,yes,yes,True
12,Common Nouns,Tool,Define what a vehicle is.,"According to this definition, is a pillow a tool?",no,no.,no,True
13,Common Nouns,Furniture,Define system maintainability by stating a condition that must be met for a system to be maintainable.,"According to this definition, is a chair furniture?",yes,yes.,yes,True
14,Common Nouns,Furniture,Define what a vector is.,"According to this definition, is a laptop furniture?",no,no.,no,True
15,Common Nouns,Planet,Define what a rule is.,"According to this definition, is Earth a planet?",yes,yes.,yes,True
16,Common Nouns,Planet,Define what a ratio is.,"According to this definition, is the Moon a planet?",no,no,no,True
17,Common Nouns,Insect,Define what verification is.,"According to this definition, is an ant an insect?",yes,yes.,yes,True
18,Common Nouns,Insect,Define trust by stating a necessary condition that must be satisfied for trust to exist.,"According to this definition, is a spider an insect?",no,no,no,True
19,Common Nouns,Musical Instrument,Define what a matrix is.,"According to this definition, is a piano a musical instrument?",yes,yes.,yes,True
20,Common Nouns,Musical Instrument,Define what refraction is.,"According to this definition, is a radio a musical instrument?",no,no,no,True
21,Common Nouns,Building,Define what a mammal is.,"According to this definition, is a house a building?",yes,yes.,yes,True
22,Common Nouns,Building,Define exercise by stating a necessary condition that must be satisfied for an activity to count as exercise.,"According to this definition, is a tree a building?",no,no,no,True
23,Common Nouns,Clothing,Define what a tool is.,"According to this definition, is a shirt clothing?",yes,yes.,yes,True
24,Common Nouns,Clothing,Define what a contradiction is.,"According to this definition, is a chair clothing?",no,no,no,True
25,Common Nouns,Metal,Define what refraction is.,"According to this definition, is iron a metal?",yes,yes.,yes,True
26,Common Nouns,Metal,Define what a rational number is.,"According to this definition, is plastic a metal?",no,no,no,True
27,Common Nouns,Emotion,Define what a reptile is.,"According to this definition, is happiness an emotion?",yes,yes,yes,True
28,Common Nouns,Emotion,Define what pressure is.,"According to this definition, is hunger an emotion?",no,no,no,True
29,Common Nouns,Appliance,Define what a weapon is.,"According to this definition, is a refrigerator an appliance?",yes,yes.,yes,True
30,Common Nouns,Appliance,Define what resilience is.,"According to this definition, is a bicycle an appliance?",no,no,no,True
31,Common Nouns,Weapon,Define transparency by stating a necessary condition that must be satisfied for a process to be transparent.,"According to this definition, is a sword a weapon?",yes,yes.,yes,True
32,Common Nouns,Weapon,Define what parallel lines are.,"According to this definition, is a spoon a weapon?",no,no,no,True
33,Common Nouns,Language,Define integrity by stating a necessary condition that must be satisfied for a person to have integrity.,"According to this definition, is English a language?",yes,yes.,yes,True
34,Common Nouns,Language,Define portability by stating a condition that must be met for a system to be considered portable.,"According to this definition, is mathematics a language?",no,yes.,yes,False
35,Common Nouns,Game,Define what a musical instrument is.,"According to this definition, is chess a game?",yes,yes.,yes,True
36,Common Nouns,Game,Define what an animal is.,"According to this definition, is sleeping a game?",no,no,no,True
37,Common Nouns,Food,Define clarity by stating a condition that must be met for communication to be considered clear.,"According to this definition, is rice food?",yes,yes,yes,True
38,Common Nouns,Food,Define exercise by stating a necessary condition that must be satisfied for an activity to count as exercise.,"According to this definition, is sand food?",no,no,no,True
39,Common Nouns,Animal,Define what a sound wave is.,"According to this definition, is a dog an animal?",yes,yes,yes,True
40,Common Nouns,Animal,Define what a schedule is.,"According to this definition, is a rock an animal?",no,no,no,True
41,Scientific Concepts,Renewable Energy,Define what an enzyme is.,"According to this definition, is solar energy renewable?",yes,yes.,yes,True
42,Scientific Concepts,Renewable Energy,Define what implication is.,"According to this definition, is coal renewable energy?",no,no,no,True
43,Scientific Concepts,Gravity,Define what a decision procedure is.,"According to this definition, does gravity cause objects to fall toward Earth?",yes,yes.,yes,True
44,Scientific Concepts,Gravity,Define what complexity is.,"According to this definition, does gravity push objects away from Earth?",no,no,no,True
45,Scientific Concepts,Photosynthesis,Define distributive justice by stating a necessary condition that must be satisfied for resource allocation to be distributively just.,"According to this definition, do plants use photosynthesis to make food?",yes,yes,yes,True
46,Scientific Concepts,Photosynthesis,Define consent by stating a necessary condition that must be satisfied for consent to be valid.,"According to this definition, do animals perform photosynthesis?",no,no,no,True
47,Scientific Concepts,Ecosystem,Define what an isotope is.,"According to this definition, is a forest an ecosystem?",yes,yes,yes,True
48,Scientific Concepts,Ecosystem,Define what energy is.,"According to this definition, is a single rock an ecosystem?",no,no.,no,True
49,Scientific Concepts,Atom,Define equality by stating a necessary condition that must be satisfied for people to be treated equally.,"According to this definition, is an atom the basic unit of matter?",yes,yes,yes,True
50,Scientific Concepts,Atom,Define what a procedure is.,"According to this definition, is an atom a living organism?",no,no,no,True
51,Scientific Concepts,Cell,Define what a whole number is.,"According to this definition, is a cell the basic unit of life?",yes,yes.,yes,True
52,Scientific Concepts,Cell,Define what transport infrastructure is.,"According to this definition, is a mountain made of cells?",no,no,no,True
53,Scientific Concepts,Electric Current,Define what responsiveness is.,"According to this definition, is electric current the flow of electric charge?",yes,yes.,yes,True
54,Scientific Concepts,Electric Current,Define what a natural number is.,"According to this definition, is electric current the flow of water?",no,no.,no,True
55,Scientific Concepts,Force,Define what a set is.,"According to this definition, can a force change the motion of an object?",yes,yes.,yes,True
56,Scientific Concepts,Force,Define what a policy is.,"According to this definition, is a force a type of living organism?",no,no,no,True
57,Scientific Concepts,Temperature,Define what the carbon cycle is.,"According to this definition, does temperature measure how hot or cold something is?",yes,yes.,yes,True
58,Scientific Concepts,Temperature,Define what an integral is.,"According to this definition, does temperature measure mass?",no,no.,no,True
59,Scientific Concepts,Evaporation,Define what voltage is.,"According to this definition, does evaporation involve liquid turning into gas?",yes,yes,yes,True
60,Scientific Concepts,Evaporation,Define what a manual is.,"According to this definition, does evaporation turn gas into liquid?",no,no,no,True
61,Scientific Concepts,Magnetism,Define what an isotope is.,"According to this definition, does magnetism involve attraction or repulsion?",yes,yes.,yes,True
62,Scientific Concepts,Magnetism,Define what heat transfer is.,"According to this definition, is magnetism a type of chemical reaction?",no,no.,no,True
63,Scientific Concepts,Voltage,Define efficiency by stating a condition that must be met for a system or process to be considered efficient.,"According to this definition, is voltage related to electric potential difference?",yes,yes.,yes,True
64,Scientific Concepts,Voltage,Define what transparency is.,"According to this definition, is voltage the same as electric current?",no,no.,no,True
65,Scientific Concepts,Mutation,Define justice by stating at least one necessary condition that must be satisfied for something to count as justice.,"According to this definition, is a mutation a change in genetic material?",yes,yes.,yes,True
66,Scientific Concepts,Mutation,Define what density is.,"According to this definition, is a mutation a type of muscle?",no,no,no,True
67,Scientific Concepts,Orbit,Define what probability is.,"According to this definition, does the Moon follow an orbit around Earth?",yes,yes.,yes,True
68,Scientific Concepts,Orbit,Define what an algorithm is.,"According to this definition, is an orbit a straight line path?",no,no,no,True
69,Scientific Concepts,Acid,Define what a subset is.,"According to this definition, does an acid donate protons in solution?",yes,yes.,yes,True
70,Scientific Concepts,Acid,Define what evaluation is.,"According to this definition, is an acid always a metal?",no,no,no,True
71,Scientific Concepts,Bacteria,Define what an acid is.,"According to this definition, are bacteria microscopic organisms?",yes,yes.,yes,True
72,Scientific Concepts,Bacteria,Define what a planet is.,"According to this definition, are bacteria large plants?",no,no,no,True
73,Scientific Concepts,Energy,Define what quality control is.,"According to this definition, is energy the ability to do work?",yes,yes,yes,True
74,Scientific Concepts,Energy,Define what execution is.,"According to this definition, is energy a physical object you can hold?",no,no,no,True
75,Scientific Concepts,Pressure,Define what a musical instrument is.,"According to this definition, is pressure force applied over an area?",yes,yes.,yes,True
76,Scientific Concepts,Pressure,Define behavioral consistency by stating a condition that must be met for behavior to be considered consistent.,"According to this definition, is pressure a unit of time?",no,no.,no,True
77,Scientific Concepts,Refraction,Define accountability by stating a necessary condition that must be satisfied for an agent to be accountable.,"According to this definition, does refraction involve bending of light?",yes,yes.,yes,True
78,Scientific Concepts,Refraction,Define what temperature is.,"According to this definition, does refraction involve sound amplification?",no,no.,no,True
79,Scientific Concepts,Carbon Cycle,Define what an even number is.,"According to this definition, does the carbon cycle involve movement of carbon through ecosystems?",yes,yes.,yes,True
80,Scientific Concepts,Carbon Cycle,Define throughput by stating a condition that must be met for throughput to be measured.,"According to this definition, is the carbon cycle unrelated to living organisms?",no,no,no,True
81,Social & Ethical Concepts,Fairness,Define what wave frequency is.,"According to this definition, is treating people equally a form of fairness?",yes,yes.,yes,True
82,Social & Ethical Concepts,Fairness,Define what an electronic device is.,"According to this definition, is favoritism toward one person fairness?",no,no,no,True
83,Social & Ethical Concepts,Justice,Define what velocity is.,"According to this definition, is punishing crimes according to law an aspect of justice?",yes,yes,yes,True
84,Social & Ethical Concepts,Justice,Define security by stating a condition that must be met for a system to be considered secure.,"According to this definition, is arbitrary punishment justice?",no,no.,no,True
85,Social & Ethical Concepts,Honesty,Define what a metal is.,"According to this definition, is telling the truth an example of honesty?",yes,yes.,yes,True
86,Social & Ethical Concepts,Honesty,Define data privacy by stating a condition that must be met for data handling to be considered private.,"According to this definition, is deliberately lying honesty?",no,no.,no,True
87,Social & Ethical Concepts,Responsibility,Define resource efficiency by stating a condition that must be met for resource use to be considered efficient.,"According to this definition, is being accountable for one’s actions responsibility?",yes,yes.,yes,True
88,Social & Ethical Concepts,Responsibility,Define what a decision procedure is.,"According to this definition, is avoiding all obligations responsibility?",no,no,no,True
89,Social & Ethical Concepts,Empathy,Define what gravity is.,"According to this definition, is understanding another person’s feelings empathy?",yes,yes.,yes,True
90,Social & Ethical Concepts,Empathy,Define what a planet is.,"According to this definition, is ignoring others’ emotions empathy?",no,no,no,True
91,Social & Ethical Concepts,Equality,Define what a checklist is.,"According to this definition, is giving everyone the same legal rights equality?",yes,no,no,False
92,Social & Ethical Concepts,Equality,Define what a rule is.,"According to this definition, is discrimination equality?",no,no.,no,True
93,Social & Ethical Concepts,Trust,Define fault tolerance by stating a condition that must be met for a system to be fault tolerant.,"According to this definition, is relying on someone’s honesty trust?",yes,no.,no,False
94,Social & Ethical Concepts,Trust,Define coercion by stating a necessary condition that must be satisfied for an action to count as coercion.,"According to this definition, is constant suspicion trust?",no,no,no,True
95,Social & Ethical Concepts,Freedom,Define what a whole number is.,"According to this definition, is the ability to make personal choices freedom?",yes,yes.,yes,True
96,Social & Ethical Concepts,Freedom,Define what density is.,"According to this definition, is total imprisonment freedom?",no,no.,no,True
97,Social & Ethical Concepts,Privacy,Define what clothing is.,"According to this definition, is control over personal information privacy?",yes,yes,yes,True
98,Social & Ethical Concepts,Privacy,Define what a chromosome is.,"According to this definition, is public exposure of private data privacy?",no,no,no,True
99,Social & Ethical Concepts,Respect,Define what an ecosystem is.,"According to this definition, is valuing another person respect?",yes,yes,yes,True
100,Social & Ethical Concepts,Respect,Define efficiency by stating a condition that must be met for a system or process to be considered efficient.,"According to this definition, is insulting someone respect?",no,no,no,True
101,Social & Ethical Concepts,Integrity,Define what a workflow is.,"According to this definition, is acting according to moral principles integrity?",yes,yes.,yes,True
102,Social & Ethical Concepts,Integrity,Define what acceleration is.,"According to this definition, is cheating while pretending to be honest integrity?",no,no,no,True
103,Social & Ethical Concepts,Compassion,Define what logging is.,"According to this definition, is showing concern for others’ suffering compassion?",yes,yes,yes,True
104,Social & Ethical Concepts,Compassion,Define what temperature is.,"According to this definition, is indifference to suffering compassion?",no,no.,no,True
105,Social & Ethical Concepts,Accountability,Define what scalability is.,"According to this definition, is accepting responsibility for outcomes accountability?",yes,yes.,yes,True
106,Social & Ethical Concepts,Accountability,Define responsibility by stating a necessary condition that makes an agent responsible for an outcome.,"According to this definition, is denying responsibility accountability?",no,no.,no,True
107,Social & Ethical Concepts,Altruism,Define system scalability by stating a condition that must be met for a system to be considered scalable.,"According to this definition, is helping others without expecting reward altruism?",yes,yes.,yes,True
108,Social & Ethical Concepts,Altruism,Define what a metal is.,"According to this definition, is acting only for personal gain altruism?",no,no,no,True
109,Social & Ethical Concepts,Discrimination,Define what an insect is.,"According to this definition, is unfair treatment based on group membership discrimination?",yes,yes,yes,True
110,Social & Ethical Concepts,Discrimination,Define what an orbit is.,"According to this definition, is equal treatment of all groups discrimination?",no,no.,no,True
111,Social & Ethical Concepts,Cooperation,Define what resilience is.,"According to this definition, is working together toward a goal cooperation?",yes,yes.,yes,True
112,Social & Ethical Concepts,Cooperation,Define responsibility by stating a necessary condition that makes an agent responsible for an outcome.,"According to this definition, is refusing to collaborate cooperation?",no,no.,no,True
113,Social & Ethical Concepts,Transparency,Define what a weapon is.,"According to this definition, is openness about processes transparency?",yes,yes,yes,True
114,Social & Ethical Concepts,Transparency,Define honesty by stating a necessary condition that must be satisfied for a person to be considered honest.,"According to this definition, is hiding relevant information transparency?",no,no,no,True
