id,domain,concept,definition_query,application_query,expected_answer
0,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
1,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
2,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
3,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
4,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
5,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
6,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
7,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
9,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
10,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
11,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
12,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
13,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
14,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
15,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
16,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
17,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
18,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
19,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
20,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
21,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
22,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
23,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
24,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
25,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
26,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
27,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
28,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
29,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
30,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
31,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
32,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
33,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
34,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
35,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
36,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
37,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
38,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
39,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
40,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
41,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
42,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
43,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
44,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
45,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
46,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
47,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
48,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
49,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
50,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
51,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
52,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
53,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
54,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
55,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
56,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
57,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
58,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
59,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
60,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
61,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
62,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
63,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
64,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
65,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
66,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
67,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
68,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
69,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
70,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
71,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
72,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
73,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
74,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
75,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
76,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
77,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
78,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
