id,domain,concept,definition_query,application_query,expected_answer
0,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
2,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
3,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
4,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
5,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
6,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
7,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
8,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
9,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
10,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
11,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
12,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
13,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
14,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
15,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
16,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
17,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
18,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
19,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
20,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
21,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
22,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
23,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
24,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
25,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
26,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
27,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
28,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
29,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
30,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
31,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
32,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
33,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
34,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
35,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
36,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
37,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
38,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
39,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
40,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
41,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
42,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
43,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
44,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
45,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
46,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
47,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
48,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
49,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
50,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
51,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
52,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
53,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
54,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
55,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
56,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
57,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
58,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
59,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
60,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
61,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
62,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
63,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
64,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
65,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
66,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
67,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
68,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
69,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
70,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
71,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
72,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
73,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
74,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
75,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
76,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
77,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
78,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
79,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
80,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
81,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
82,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
83,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
84,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
85,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
86,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
87,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
88,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
89,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
90,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
91,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
92,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
93,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
94,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
95,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
96,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
97,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
98,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
99,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
100,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
101,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
102,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
103,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
104,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
105,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
106,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
107,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
108,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
109,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
110,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
111,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
112,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
113,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
114,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
115,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
116,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
117,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
118,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
119,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
120,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
121,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
122,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
123,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
124,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
125,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
126,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
127,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
128,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
129,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
130,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
131,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
132,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
133,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
134,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
135,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
136,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
137,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
138,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
139,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
140,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
141,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
142,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
143,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
144,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
145,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
146,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
147,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
148,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
149,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
150,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
151,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
152,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
153,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
154,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
155,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
156,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
157,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
158,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
159,Common Nouns,bird,Define a bird.,Does a sparrow qualify as a bird?,yes
160,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
161,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
162,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
163,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
164,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
165,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
166,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
167,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
168,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
169,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
170,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
171,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
172,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
173,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
174,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
175,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
176,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
177,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
178,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
179,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
180,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
181,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
182,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
183,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
184,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
185,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
186,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
187,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
188,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
189,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
190,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
191,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
192,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
193,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
194,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
195,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
196,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
197,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
198,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
199,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
200,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
201,Common Nouns,bird,Define a bird.,Does a sparrow qualify as a bird?,yes
202,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
203,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
204,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
205,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
206,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
207,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
208,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
209,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
210,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
211,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
212,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
213,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
214,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
215,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
216,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
217,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
218,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
219,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
220,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
221,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
222,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
223,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
224,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
225,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
226,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
227,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
228,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
229,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
230,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
231,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
232,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
233,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
234,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
235,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
236,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
237,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
238,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
239,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
240,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
